"","Datum","Ferien"
"1",2013-03-25,"1"
"2",2013-03-26,"1"
"3",2013-03-27,"1"
"4",2013-03-28,"1"
"5",2013-03-29,"1"
"6",2013-03-30,"1"
"7",2013-03-31,"1"
"8",2013-04-01,"1"
"9",2013-04-02,"1"
"10",2013-04-03,"1"
"11",2013-04-04,"1"
"12",2013-04-05,"1"
"13",2013-04-06,"1"
"14",2013-04-07,"1"
"15",2013-04-08,"1"
"16",2013-04-09,"1"
"17",2013-05-10,"1"
"18",2013-06-24,"1"
"19",2013-06-25,"1"
"20",2013-06-26,"1"
"21",2013-06-27,"1"
"22",2013-06-28,"1"
"23",2013-06-29,"1"
"24",2013-06-30,"1"
"25",2013-07-01,"1"
"26",2013-07-02,"1"
"27",2013-07-03,"1"
"28",2013-07-04,"1"
"29",2013-07-05,"1"
"30",2013-07-06,"1"
"31",2013-07-07,"1"
"32",2013-07-08,"1"
"33",2013-07-09,"1"
"34",2013-07-10,"1"
"35",2013-07-11,"1"
"36",2013-07-12,"1"
"37",2013-07-13,"1"
"38",2013-07-14,"1"
"39",2013-07-15,"1"
"40",2013-07-16,"1"
"41",2013-07-17,"1"
"42",2013-07-18,"1"
"43",2013-07-19,"1"
"44",2013-07-20,"1"
"45",2013-07-21,"1"
"46",2013-07-22,"1"
"47",2013-07-23,"1"
"48",2013-07-24,"1"
"49",2013-07-25,"1"
"50",2013-07-26,"1"
"51",2013-07-27,"1"
"52",2013-07-28,"1"
"53",2013-07-29,"1"
"54",2013-07-30,"1"
"55",2013-07-31,"1"
"56",2013-08-01,"1"
"57",2013-08-02,"1"
"58",2013-08-03,"1"
"59",2013-10-04,"1"
"60",2013-10-05,"1"
"61",2013-10-06,"1"
"62",2013-10-07,"1"
"63",2013-10-08,"1"
"64",2013-10-09,"1"
"65",2013-10-10,"1"
"66",2013-10-11,"1"
"67",2013-10-12,"1"
"68",2013-10-13,"1"
"69",2013-10-14,"1"
"70",2013-10-15,"1"
"71",2013-10-16,"1"
"72",2013-10-17,"1"
"73",2013-10-18,"1"
"74",2013-12-23,"1"
"75",2013-12-24,"1"
"76",2013-12-25,"1"
"77",2013-12-26,"1"
"78",2013-12-27,"1"
"79",2013-12-28,"1"
"80",2013-12-29,"1"
"81",2013-12-30,"1"
"82",2013-12-31,"1"
"83",2014-01-01,"1"
"84",2014-01-02,"1"
"85",2014-01-03,"1"
"86",2014-01-04,"1"
"87",2014-01-05,"1"
"88",2014-01-06,"1"
"89",2014-04-16,"1"
"90",2014-04-17,"1"
"91",2014-04-18,"1"
"92",2014-04-19,"1"
"93",2014-04-20,"1"
"94",2014-04-21,"1"
"95",2014-04-22,"1"
"96",2014-04-23,"1"
"97",2014-04-24,"1"
"98",2014-04-25,"1"
"99",2014-04-26,"1"
"100",2014-04-27,"1"
"101",2014-04-28,"1"
"102",2014-04-29,"1"
"103",2014-04-30,"1"
"104",2014-05-01,"1"
"105",2014-05-02,"1"
"106",2014-05-30,"1"
"107",2014-07-14,"1"
"108",2014-07-15,"1"
"109",2014-07-16,"1"
"110",2014-07-17,"1"
"111",2014-07-18,"1"
"112",2014-07-19,"1"
"113",2014-07-20,"1"
"114",2014-07-21,"1"
"115",2014-07-22,"1"
"116",2014-07-23,"1"
"117",2014-07-24,"1"
"118",2014-07-25,"1"
"119",2014-07-26,"1"
"120",2014-07-27,"1"
"121",2014-07-28,"1"
"122",2014-07-29,"1"
"123",2014-07-30,"1"
"124",2014-07-31,"1"
"125",2014-08-01,"1"
"126",2014-08-02,"1"
"127",2014-08-03,"1"
"128",2014-08-04,"1"
"129",2014-08-05,"1"
"130",2014-08-06,"1"
"131",2014-08-07,"1"
"132",2014-08-08,"1"
"133",2014-08-09,"1"
"134",2014-08-10,"1"
"135",2014-08-11,"1"
"136",2014-08-12,"1"
"137",2014-08-13,"1"
"138",2014-08-14,"1"
"139",2014-08-15,"1"
"140",2014-08-16,"1"
"141",2014-08-17,"1"
"142",2014-08-18,"1"
