STATIONS_ID;MESS_DATUM;QN_3;Windspitze;Windgeschwindigkeit;QN_4;Niederschlagsmenge;Niederschlagsform;Sonnenscheindauer;Schneehoehe;Bedeckungsgrad;Dampfdruck;Luftdruck;Temperatur;Relative_Feuchte;Max-Temperatur;Min_Temperatur;Min_Temperatur_Boden;eor
2564;01.01.2012;-999;-999;-999;3;  14.0;4;    0.000;0;   7.9;  10.4; 1000.30;    8.5;   93.00;-999;-999;    3.0;eor
2564;02.01.2012;-999;-999;-999;3;   0.0;0;    0.000;0;   6.6;   9.0;  999.20;    7.2;   87.00;-999;-999;    3.0;eor
2564;03.01.2012;-999;-999;-999;3;  20.8;4;    0.000;0;   6.4;   7.6;  996.20;    5.1;   86.00;-999;-999;    1.0;eor
2564;04.01.2012;-999;-999;-999;3;  19.7;4;2.700;0;   6.0;   7.2;  994.30;    5.4;   81.00;-999;-999;    2.0;eor
2564;05.01.2012;-999;-999;-999;3;   3.3;4;    0.400;0;   6.8;   7.2;  974.00;    5.0;   82.00;-999;-999;    3.0;eor
2564;06.01.2012;-999;-999;-999;3;   0.7;4;5.600;0;   3.8;   5.9; 1003.00;    2.4;   82.00;-999;-999;   -2.0;eor
2564;07.01.2012;-999;-999;-999;3;   5.8;4;    0.000;0;   7.4;   7.9; 1001.50;    5.5;   88.00;-999;-999;    0.0;eor
2564;08.01.2012;-999;-999;-999;3;   0.3;4;    0.000;0;   7.2;   7.6; 1008.50;    5.0;   86.00;-999;-999;    3.0;eor
2564;09.01.2012;-999;-999;-999;3;   3.0;4;    0.000;0;   7.5;   7.7; 1016.30;    4.7;   89.00;-999;-999;    0.0;eor
2564;10.01.2012;-999;-999;-999;3;   0.2;4;    0.700;0;   5.0;   7.8; 1022.50;    5.5;   86.00;-999;-999;    1.0;eor
2564;11.01.2012;-999;-999;-999;3;   0.8;4;    0.000;0;   7.3;   9.0; 1020.40;    7.2;   88.00;-999;-999;    4.0;eor
2564;12.01.2012;-999;-999;-999;3;   3.4;4;    0.000;0;   6.8;   8.5; 1007.40;    6.8;   84.00;-999;-999;    2.0;eor
2564;13.01.2012;-999;-999;-999;3;   0.0;0;5.200;0;   2.5;   6.0; 1010.90;    3.8;   75.00;-999;-999;    0.0;eor
2564;14.01.2012;-999;-999;-999;3;   0.0;0;4.400;0;   2.8;   5.2; 1019.40;    1.8;   75.00;-999;-999;   -2.0;eor
2564;15.01.2012;-999;-999;-999;3;   0.1;4;4.900;0;   2.6;   5.3; 1022.40;    0.3;   85.00;-999;-999;   -6.0;eor
2564;16.01.2012;-999;-999;-999;3;   0.9;4;    0.000;0;   7.8;   6.7; 1022.40;    2.6;   92.00;-999;-999;   -5.0;eor
2564;17.01.2012;-999;-999;-999;3;   0.0;0;    0.400;0;   7.2;   6.9; 1022.40;    3.9;   86.00;-999;-999;    1.0;eor
2564;18.01.2012;-999;-999;-999;3;   4.0;4;    0.000;0;   6.7;   6.5; 1016.60;    2.5;   88.00;-999;-999;   -2.0;eor
2564;19.01.2012;-999;-999;-999;3;   2.5;4;    0.000;0;   6.2;   7.6; 1004.00;    4.6;   90.00;-999;-999;    2.0;eor
2564;20.01.2012;-999;-999;-999;3;   0.1;4;1.100;0;   6.5;   6.5; 1001.10;    2.8;   87.00;-999;-999;    0.0;eor
2564;21.01.2012;-999;-999;-999;3;   7.3;4;    0.600;0;   7.1;   6.7;  994.10;    3.0;   88.00;-999;-999;    0.0;eor
2564;22.01.2012;-999;-999;-999;3;   1.0;4;    0.000;0;   7.0;   6.8;  991.80;    3.8;   85.00;-999;-999;    0.0;eor
2564;23.01.2012;-999;-999;-999;3;   0.0;0;2.900;0;   6.4;   5.9; 1005.60;    1.4;   88.00;-999;-999;   -5.0;eor
2564;24.01.2012;-999;-999;-999;3;   0.0;0;4.200;0;   4.5;   5.5; 1014.70;    0.8;   85.00;-999;-999;   -4.0;eor
